X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
280,140,740,1109,0,120,0,4,0.25,35,0.55,28,69.15
280,140,740,1109,0,120,0,4,0.25,35,0.55,90,89.97
280,140,740,1109,0,120,0,4,0.25,35,0.55,365,109.89
280,140,737,1106,0,120,0,4,0.5,35,0.55,7,58.3
280,140,737,1106,0,120,0,4,0.5,35,0.55,28,72.06
280,140,737,1106,0,120,0,4,0.5,35,0.55,90,91.2
280,140,737,1106,0,120,0,4,0.5,35,0.55,365,106.86
280,140,732,1097,0,120,0,4,1,35,0.55,7,59.64
280,140,732,1097,0,120,0,4,1,35,0.55,28,72.74
280,140,732,1097,0,120,0,4,1,35,0.55,90,89.07
280,140,732,1097,0,120,0,4,1,35,0.55,365,106.86
280,140,726,1090,0,120,0,4,1.5,35,0.55,7,59.98
280,140,726,1090,0,120,0,4,1.5,35,0.55,28,67.92
280,140,726,1090,0,120,0,4,1.5,35,0.55,90,87.84
280,140,726,1090,0,120,0,4,1.5,35,0.55,365,104.51
351.1,174.4,914.8,994.7,0,0,0,2.68,0.26,50,1,28,46.55
351.1,174.4,914.8,994.7,0,0,0,2.68,0.45,50,1,28,46.66
666,200,900,540,0,0,0,0,0.5,30,0.5,28,59.36
666,200,900,540,0,0,0,0,1,30,0.5,28,69.97
666,200,900,540,0,0,0,0,1.5,30,0.5,28,64.87
666,200,900,540,0,0,0,0,2,30,0.5,28,69.56
666,200,900,540,0,0,0,0,0.5,30,0.5,28,65.79
666,200,900,540,0,0,0,0,1,30,0.5,28,64.46
666,200,900,540,0,0,0,0,1.5,30,0.5,28,65.59
666,200,900,540,0,0,0,0,2,30,0.5,28,66.71
666,200,900,540,0,0,0,0,0.5,30,0.5,28,67.93
666,200,900,540,0,0,0,0,1,30,0.5,28,68.44
666,200,900,540,0,0,0,0,1.5,30,0.5,28,68.95
666,200,900,540,0,0,0,0,2,30,0.5,28,66.81
400,152,835,1047,0,0,0,4,0,0,0,28,34.44
400,152,835,1047,0,0,0,4,0.5,40,0.62,28,35.5
400,152,835,1047,0,0,0,4,1,60,0.75,28,39.65
400,152,835,1047,0,0,0,4,0.5,40,0.62,28,36.25
400,152,835,1047,0,0,0,4,1,60,0.75,28,40.93
400,152,835,1047,20,0,0,4,0,0,0,28,38.69
400,152,835,1047,20,0,0,4,0.5,40,0.62,28,40.71
400,152,835,1047,20,0,0,4,1,60,0.75,28,51.13
400,152,835,1047,20,0,0,4,0.5,40,0.62,28,44.01
400,152,835,1047,20,0,0,4,1,60,0.75,28,48.58
400,152,835,1047,40,0,0,4,0,0,0,28,59.74
400,152,835,1047,40,0,0,4,0.5,40,0.62,28,64.21
400,152,835,1047,40,0,0,4,1,60,0.75,28,71.11
400,152,835,1047,40,0,0,4,0.5,40,0.62,28,63.46
400,152,835,1047,40,0,0,4,1,60,0.75,28,67.71
400,152,835,1047,60,0,0,4,0,0,0,28,63.89
400,152,835,1047,60,0,0,4,0.5,40,0.62,28,70.69
400,152,835,1047,60,0,0,4,1,60,0.75,28,73.67
400,152,835,1047,60,0,0,4,0.5,40,0.62,28,67.18
400,152,835,1047,60,0,0,4,1,60,0.75,28,74.94
